nombreEscuela,seccionEscuela,orientacionSeccion,matriculaSeccion
Esc. de Educación Media Nº 01 DE 12 Julio Cortazar,5°2° TM,Comunicación,28
Esc. de Educación Media Nº 01 DE 12 Julio Cortazar,5°3° TT,Comunicación,26
Esc. de Educación Media Nº 01 DE 12 Julio Cortazar,5°4° TT,Comunicación,23
Esc. de Educación Media Nº 01 DE 13 Manuel Mujica Lainez,5°1° TV/TN,Comunicación,
Esc. de Educación Media Nº 01 DE 13 Manuel Mujica Lainez,5°2° TV/TN,Comunicación,
Esc. de Educación Media Nº 01 DE 14 Federico García Lorca,5°1° TT,Economía y Administración,22
Esc. de Educación Media Nº 01 DE 14 Federico García Lorca,5°2° TM,Economía y Administración,21
Esc. de Educación Media Nº 01 DE 14 Federico García Lorca,5°3° TM,Cs. Soc y Humanidades,25
Esc. de Educación Media Nº 01 DE 16 Rodolfo Walsh,5°1° TM,Comunicación,22
Esc. de Educación Media Nº 01 DE 16 Rodolfo Walsh,5°2° TT,Comunicación,20
Esc. de Educación Media Nº 01 DE 16 Rodolfo Walsh,5°3° TM,Comunicación,22
Esc. de Educación Media Nº 01 DE 20 Biblioteca del Congreso de la Nación,5°A TV,Economía y Administración,
Esc. de Educación Media Nº 01 DE 20 Biblioteca del Congreso de la Nación,5°B TV,Economía y Administración,
Esc. de Educación Media Nº 01 DE 20 Biblioteca del Congreso de la Nación,5°C TM,Artes Visuales,9
Esc. de Educación Media Nº 01 DE 20 Biblioteca del Congreso de la Nación,5°D TM,Artes Visuales,16
Esc. de Educación Media Nº 01 DE 21,5°1° TT,Cs. Naturales,20
Esc. de Educación Media Nº 01 DE 21,5°2° TT,Cs. Naturales,20
Esc. de Educación Media Nº 01 DE 21,5°3° TT,Cs. Naturales,21
Esc. de Educación Media Nº 01 DE 21,5°A TM,Cs. Naturales,27
Esc. de Educación Media Nº 01 DE 21,5°B TM,Cs. Naturales,20
Esc. de Educación Media Nº 01 DE 21,5°C TM,Cs. Naturales,27
Esc. de Educación Media Nº 02 DE 13,5°1° TM,Agro y Ambiente,19
